[BernoulliRBM] Iteration 45, pseudo-likelihood = -0.27, time = 0.00s
[BernoulliRBM] Iteration 46, pseudo-likelihood = -0.25, time = 0.00s
[BernoulliRBM] Iteration 47, pseudo-likelihood = -0.37, time = 0.00s
[BernoulliRBM] Iteration 48, pseudo-likelihood = -0.40, time = 0.00s
[BernoulliRBM] Iteration 49, pseudo-likelihood = -0.36, time = 0.00s
[BernoulliRBM] Iteration 50, pseudo-likelihood = -0.53, time = 0.00s
[BernoulliRBM] Iteration 51, pseudo-likelihood = -0.35, time = 0.00s
[BernoulliRBM] Iteration 52, pseudo-likelihood = -0.44, time = 0.00s
[BernoulliRBM] Iteration 53, pseudo-likelihood = -0.11, time = 0.00s
[BernoulliRBM] Iteration 54, pseudo-likelihood = -0.32, time = 0.00s
[BernoulliRBM] Iteration 55, pseudo-likelihood = -0.54, time = 0.00s
[BernoulliRBM] Iteration 56, pseudo-likelihood = -0.36, time = 0.00s
[BernoulliRBM] Iteration 57, pseudo-likelihood = -0.24, time = 0.00s
[BernoulliRBM] Iteration 58, pseudo-likelihood = -0.34, time = 0.00s
[BernoulliRBM] Iteration 59, pseudo-likelihood = -0.27, time = 0.00s
[BernoulliRBM] Iteration 60, pseudo-likelihood = -0.33, time = 0.00s
[BernoulliRBM] Iteration 61, pseudo-likelihood = -0.26, time = 0.00s
[BernoulliRBM] Iteration 62, pseudo-likelihood = -0.17, time = 0.00s
[BernoulliRBM] Iteration 63, pseudo-likelihood = -0.46, time = 0.00s
[BernoulliRBM] Iteration 64, pseudo-likelihood = -0.42, time = 0.00s
[BernoulliRBM] Iteration 65, pseudo-likelihood = -0.38, time = 0.00s
[BernoulliRBM] Iteration 66, pseudo-likelihood = -0.34, time = 0.00s
[BernoulliRBM] Iteration 67, pseudo-likelihood = -0.31, time = 0.00s
[BernoulliRBM] Iteration 68, pseudo-likelihood = -0.33, time = 0.00s
[BernoulliRBM] Iteration 69, pseudo-likelihood = -0.29, time = 0.00s
[BernoulliRBM] Iteration 70, pseudo-likelihood = -0.23, time = 0.00s
[BernoulliRBM] Iteration 71, pseudo-likelihood = -0.38, time = 0.00s
[BernoulliRBM] Iteration 72, pseudo-likelihood = -0.22, time = 0.00s
[BernoulliRBM] Iteration 73, pseudo-likelihood = -0.26, time = 0.00s
[BernoulliRBM] Iteration 74, pseudo-likelihood = -0.38, time = 0.00s
[BernoulliRBM] Iteration 75, pseudo-likelihood = -0.34, time = 0.00s
[BernoulliRBM] Iteration 76, pseudo-likelihood = -0.31, time = 0.00s
[BernoulliRBM] Iteration 77, pseudo-likelihood = -0.44, time = 0.00s
[BernoulliRBM] Iteration 78, pseudo-likelihood = -0.25, time = 0.00s
[BernoulliRBM] Iteration 79, pseudo-likelihood = -0.26, time = 0.00s
[BernoulliRBM] Iteration 80, pseudo-likelihood = -0.20, time = 0.00s
[BernoulliRBM] Iteration 81, pseudo-likelihood = -0.29, time = 0.00s
[BernoulliRBM] Iteration 82, pseudo-likelihood = -0.35, time = 0.00s
[BernoulliRBM] Iteration 83, pseudo-likelihood = -0.27, time = 0.00s
[BernoulliRBM] Iteration 84, pseudo-likelihood = -0.13, time = 0.00s
[BernoulliRBM] Iteration 85, pseudo-likelihood = -0.26, time = 0.00s
[BernoulliRBM] Iteration 86, pseudo-likelihood = -0.43, time = 0.00s
[BernoulliRBM] Iteration 87, pseudo-likelihood = -0.18, time = 0.00s
[BernoulliRBM] Iteration 88, pseudo-likelihood = -0.40, time = 0.00s
[BernoulliRBM] Iteration 89, pseudo-likelihood = -0.31, time = 0.00s
[BernoulliRBM] Iteration 90, pseudo-likelihood = -0.28, time = 0.00s
[BernoulliRBM] Iteration 91, pseudo-likelihood = -0.55, time = 0.00s
[BernoulliRBM] Iteration 92, pseudo-likelihood = -0.36, time = 0.00s
[BernoulliRBM] Iteration 93, pseudo-likelihood = -0.44, time = 0.00s
[BernoulliRBM] Iteration 94, pseudo-likelihood = -0.39, time = 0.00s
[BernoulliRBM] Iteration 95, pseudo-likelihood = -0.30, time = 0.00s
[BernoulliRBM] Iteration 96, pseudo-likelihood = -0.37, time = 0.00s
[BernoulliRBM] Iteration 97, pseudo-likelihood = -0.24, time = 0.00s
[BernoulliRBM] Iteration 98, pseudo-likelihood = -0.16, time = 0.00s
[BernoulliRBM] Iteration 99, pseudo-likelihood = -0.27, time = 0.00s
[BernoulliRBM] Iteration 100, pseudo-likelihood = -0.24, time = 0.00s
Training took  0.23679280281066895
Evaluation of test set using RBM Neural Net:
             precision    recall  f1-score   support

          0       0.00      0.00      0.00        16
          1       0.00      0.00      0.00        18
          2       0.24      1.00      0.39        11

avg / total       0.06      0.24      0.10        45


