PCAReducer Reduction and Clustering
----------------------------------------
Initialization complete
Iteration 10, inertia 4664.722
Iteration 11, inertia 4664.628
Converged at iteration 11
Initialization complete
Iteration  0, inertia 7600.070
Iteration  1, inertia 4969.717
Iteration  2, inertia 4804.083
Iteration  3, inertia 4744.783
Iteration  4, inertia 4720.663
Iteration  5, inertia 4709.346
Iteration  6, inertia 4700.329
Iteration  7, inertia 4694.931
Iteration  8, inertia 4692.276
Iteration  9, inertia 4690.606
Iteration 10, inertia 4688.829
Iteration 11, inertia 4687.639
Iteration 12, inertia 4686.331
Iteration 13, inertia 4681.543
Iteration 14, inertia 4674.441
Iteration 15, inertia 4669.754
Iteration 16, inertia 4665.262
Iteration 17, inertia 4663.313
Iteration 18, inertia 4662.949
Iteration 19, inertia 4662.791
Iteration 20, inertia 4662.746
Iteration 21, inertia 4662.684
Iteration 22, inertia 4662.562
Iteration 23, inertia 4662.511
Iteration 24, inertia 4662.457
Iteration 25, inertia 4662.343
Converged at iteration 25
Initialization complete
Iteration  0, inertia 7658.599
Iteration  1, inertia 4995.174
Iteration  2, inertia 4896.904
Iteration  3, inertia 4864.448
Iteration  4, inertia 4842.482
Iteration  5, inertia 4823.349
Iteration  6, inertia 4806.047
Iteration  7, inertia 4801.055
Iteration  8, inertia 4796.909
Iteration  9, inertia 4794.621
Iteration 10, inertia 4789.600
Iteration 11, inertia 4782.146
Iteration 12, inertia 4775.155
Iteration 13, inertia 4761.307
Iteration 14, inertia 4734.876
Iteration 15, inertia 4715.338
Iteration 16, inertia 4701.503
Iteration 17, inertia 4690.051
Iteration 18, inertia 4677.012
Iteration 19, inertia 4664.434
Iteration 20, inertia 4656.236
Iteration 21, inertia 4652.435
Iteration 22, inertia 4650.227
Iteration 23, inertia 4649.214
Iteration 24, inertia 4648.835
Iteration 25, inertia 4648.394
Iteration 26, inertia 4647.668
Iteration 27, inertia 4647.205
Iteration 28, inertia 4647.137
Converged at iteration 28
Pre-Reduction   1.15s    4647   0.742   0.751   0.746   0.671   0.739    0.185
----------------------------------------
Initialization complete
Iteration  0, inertia 439.823
Iteration  1, inertia 298.872
Iteration  2, inertia 290.340
Iteration  3, inertia 287.642
Iteration  4, inertia 286.204
Iteration  5, inertia 284.918
Iteration  6, inertia 283.828
Iteration  7, inertia 283.173
Iteration  8, inertia 282.788
Iteration  9, inertia 282.310
