NMFReducer Reduction and Clustering
----------------------------------------
Initialization complete
Iteration 12, inertia 4666.705
Converged at iteration 12
Initialization complete
Iteration  0, inertia 7556.919
Iteration  1, inertia 4967.751
Iteration  2, inertia 4790.726
Iteration  3, inertia 4729.727
Iteration  4, inertia 4696.707
Iteration  5, inertia 4672.578
Iteration  6, inertia 4659.746
Iteration  7, inertia 4654.911
Iteration  8, inertia 4651.600
Iteration  9, inertia 4649.859
Iteration 10, inertia 4649.611
Iteration 11, inertia 4649.522
Converged at iteration 11
Initialization complete
Iteration  0, inertia 7971.955
Iteration  1, inertia 4918.683
Iteration  2, inertia 4758.095
Iteration  3, inertia 4739.077
Iteration  4, inertia 4718.484
Iteration  5, inertia 4681.510
Iteration  6, inertia 4665.442
Iteration  7, inertia 4656.971
Iteration  8, inertia 4652.379
Iteration  9, inertia 4649.227
Iteration 10, inertia 4647.755
Iteration 11, inertia 4647.232
Iteration 12, inertia 4647.052
Converged at iteration 12
Initialization complete
Iteration  0, inertia 8006.785
Iteration  1, inertia 4890.398
Iteration  2, inertia 4742.652
Iteration  3, inertia 4709.537
Iteration  4, inertia 4692.883
Iteration  5, inertia 4687.059
Iteration  6, inertia 4684.405
Iteration  7, inertia 4681.191
Iteration  8, inertia 4675.384
Iteration  9, inertia 4664.471
Iteration 10, inertia 4654.244
Iteration 11, inertia 4650.273
Iteration 12, inertia 4648.370
Iteration 13, inertia 4647.735
Iteration 14, inertia 4647.320
Iteration 15, inertia 4647.129
Converged at iteration 15
Initialization complete
Iteration  0, inertia 7786.363
Iteration  1, inertia 5004.128
Iteration  2, inertia 4885.330
Iteration  3, inertia 4826.064
Iteration  4, inertia 4802.087
Iteration  5, inertia 4793.187
Iteration  6, inertia 4785.723
Iteration  7, inertia 4781.243
Iteration  8, inertia 4779.243
Iteration  9, inertia 4778.345
Iteration 10, inertia 4777.685
Iteration 11, inertia 4777.042
Iteration 12, inertia 4776.452
Iteration 13, inertia 4776.379
Iteration 14, inertia 4776.163
Iteration 15, inertia 4776.076
Converged at iteration 15
Initialization complete
Iteration  0, inertia 7769.190
Iteration  1, inertia 4951.559
Iteration  2, inertia 4747.376
Iteration  3, inertia 4701.434
Iteration  4, inertia 4680.695
Iteration  5, inertia 4674.249
Iteration  6, inertia 4673.401
Iteration  7, inertia 4672.107
Iteration  8, inertia 4671.330
Iteration  9, inertia 4671.286
Iteration 10, inertia 4671.232
Iteration 11, inertia 4671.150
Iteration 12, inertia 4670.934
Iteration 13, inertia 4670.873
Converged at iteration 13
Pre-Reduction   0.89s    4647   0.741   0.750   0.745   0.671   0.739    0.175
----------------------------------------
Initialization complete
Iteration  0, inertia 724.336
Iteration  1, inertia 519.947
Iteration  2, inertia 512.559
Iteration  3, inertia 504.939
Iteration  4, inertia 493.101
Iteration  5, inertia 478.843
Iteration  6, inertia 474.114
Iteration  7, inertia 471.516
Iteration  8, inertia 467.333
Iteration  9, inertia 464.746
Iteration 10, inertia 463.906
Iteration 11, inertia 463.504
Iteration 12, inertia 463.357
Iteration 13, inertia 463.326
Iteration 14, inertia 463.317
Iteration 15, inertia 463.312
Converged at iteration 15
Initialization complete
Iteration  0, inertia 769.783
Iteration  1, inertia 537.646
Iteration  2, inertia 500.440
Iteration  3, inertia 480.672
Iteration  4, inertia 473.977
Iteration  5, inertia 472.527
Iteration  6, inertia 472.184
Iteration  7, inertia 471.846
Iteration  8, inertia 471.433
Iteration  9, inertia 471.261
Iteration 10, inertia 471.151
Iteration 11, inertia 471.101
Iteration 12, inertia 470.958
Iteration 13, inertia 470.789
Iteration 14, inertia 470.722
Iteration 15, inertia 470.706
Iteration 16, inertia 470.697
Iteration 17, inertia 470.685
Iteration 18, inertia 470.662
Iteration 19, inertia 470.604
Iteration 20, inertia 470.448
Iteration 21, inertia 470.389
Iteration 22, inertia 470.316
Iteration 23, inertia 470.207
Iteration 24, inertia 470.110
Iteration 25, inertia 470.012
Iteration 26, inertia 469.940
Iteration 27, inertia 469.812
Iteration 28, inertia 469.644
Iteration 29, inertia 469.559
Iteration 30, inertia 469.485
Iteration 31, inertia 469.348
Iteration 32, inertia 469.239
Iteration 33, inertia 469.120
Iteration 34, inertia 469.037
Iteration 35, inertia 468.996
Iteration 36, inertia 468.949
Iteration 37, inertia 468.933
Iteration 38, inertia 468.898
Iteration 39, inertia 468.825
Iteration 40, inertia 468.751
Iteration 41, inertia 468.729
Iteration 42, inertia 468.716
Iteration 43, inertia 468.696
Iteration 44, inertia 468.653
Iteration 45, inertia 468.589
Iteration 46, inertia 468.584
Iteration 47, inertia 468.581
Converged at iteration 47
Initialization complete
Iteration  0, inertia 761.868
Iteration  1, inertia 524.767
Iteration  2, inertia 497.991
Iteration  3, inertia 486.849
Iteration  4, inertia 478.886
Iteration  5, inertia 475.019
Iteration  6, inertia 473.046
Iteration  7, inertia 472.190
Iteration  8, inertia 471.867
Iteration  9, inertia 471.738
Iteration 10, inertia 471.661
Iteration 11, inertia 471.628
Iteration 12, inertia 471.617
Iteration 13, inertia 471.612
Iteration 14, inertia 471.602
Iteration 15, inertia 471.563
Iteration 16, inertia 471.559
Converged at iteration 16
Initialization complete
Iteration  0, inertia 821.448
Iteration  1, inertia 572.656
Iteration  2, inertia 528.927
Iteration  3, inertia 508.642
Iteration  4, inertia 497.305
Iteration  5, inertia 490.142
Iteration  6, inertia 486.025
Iteration  7, inertia 484.271
Iteration  8, inertia 482.860
Iteration  9, inertia 482.112
Iteration 10, inertia 481.743
Iteration 11, inertia 481.626
Iteration 12, inertia 481.577
Iteration 13, inertia 481.513
Iteration 14, inertia 481.424
Iteration 15, inertia 481.119
Iteration 16, inertia 480.272
Iteration 17, inertia 479.048
Iteration 18, inertia 474.892
Iteration 19, inertia 468.665
Iteration 20, inertia 464.138
Iteration 21, inertia 463.419
Iteration 22, inertia 463.307
Iteration 23, inertia 463.294
Converged at iteration 23
Initialization complete
Iteration  0, inertia 762.163
Iteration  1, inertia 523.376
Iteration  2, inertia 491.468
Iteration  3, inertia 475.483
Iteration  4, inertia 470.747
Iteration  5, inertia 468.990
Iteration  6, inertia 468.333
Iteration  7, inertia 468.101
Iteration  8, inertia 467.901
Iteration  9, inertia 467.768
Iteration 10, inertia 467.671
Iteration 11, inertia 467.569
Iteration 12, inertia 467.480
Iteration 13, inertia 467.280
Iteration 14, inertia 467.002
Iteration 15, inertia 466.659
Iteration 16, inertia 466.029
Iteration 17, inertia 465.571
Iteration 18, inertia 465.107
Iteration 19, inertia 464.774
Iteration 20, inertia 464.511
Iteration 21, inertia 464.292
Iteration 22, inertia 464.110
Iteration 23, inertia 463.953
Iteration 24, inertia 463.760
Iteration 25, inertia 463.691
Iteration 26, inertia 463.689
Converged at iteration 26
Initialization complete
Iteration  0, inertia 761.019
Iteration  1, inertia 516.504
Iteration  2, inertia 487.380
Iteration  3, inertia 475.388
Iteration  4, inertia 473.147
Iteration  5, inertia 471.980
Iteration  6, inertia 471.810
Iteration  7, inertia 471.665
Iteration  8, inertia 471.533
Iteration  9, inertia 471.249
Iteration 10, inertia 471.073
Iteration 11, inertia 470.963
Iteration 12, inertia 470.827
Iteration 13, inertia 470.637
Iteration 14, inertia 470.403
Iteration 15, inertia 470.317
Iteration 16, inertia 470.295
Iteration 17, inertia 470.259
Iteration 18, inertia 470.251
Iteration 19, inertia 470.232
Iteration 20, inertia 470.220
Iteration 21, inertia 470.208
Iteration 22, inertia 470.192
Iteration 23, inertia 470.188
