ICAReducer Reduction and Clustering
----------------------------------------
Initialization complete
Iteration  6, inertia 4782.546
Iteration  7, inertia 4772.606
Iteration  8, inertia 4758.025
Iteration  9, inertia 4743.551
Iteration 10, inertia 4738.516
Iteration 11, inertia 4736.347
Iteration 12, inertia 4735.668
Iteration 13, inertia 4735.213
Iteration 14, inertia 4734.847
Iteration 15, inertia 4734.727
Iteration 16, inertia 4734.636
Iteration 17, inertia 4734.542
Iteration 18, inertia 4734.411
Iteration 19, inertia 4734.368
Iteration 20, inertia 4734.284
Iteration 21, inertia 4734.224
Iteration 22, inertia 4734.182
Converged at iteration 22
Initialization complete
Iteration  0, inertia 7402.407
Iteration  1, inertia 4932.604
Iteration  2, inertia 4855.313
Iteration  3, inertia 4826.570
Iteration  4, inertia 4807.792
Iteration  5, inertia 4794.356
Iteration  6, inertia 4786.962
Iteration  7, inertia 4780.877
Iteration  8, inertia 4774.075
Iteration  9, inertia 4763.993
Iteration 10, inertia 4751.879
Iteration 11, inertia 4741.950
Iteration 12, inertia 4731.988
Iteration 13, inertia 4711.150
Iteration 14, inertia 4686.238
Iteration 15, inertia 4676.518
Iteration 16, inertia 4673.938
Iteration 17, inertia 4672.781
Iteration 18, inertia 4671.903
Iteration 19, inertia 4671.419
Iteration 20, inertia 4671.080
Iteration 21, inertia 4670.893
Converged at iteration 21
Initialization complete
Iteration  0, inertia 7434.687
Iteration  1, inertia 4850.851
Iteration  2, inertia 4775.593
Iteration  3, inertia 4758.691
Iteration  4, inertia 4753.674
Iteration  5, inertia 4751.788
Iteration  6, inertia 4750.206
Iteration  7, inertia 4748.912
Iteration  8, inertia 4747.579
Iteration  9, inertia 4745.870
Iteration 10, inertia 4743.613
Iteration 11, inertia 4742.037
Iteration 12, inertia 4741.303
Iteration 13, inertia 4739.560
Iteration 14, inertia 4736.549
Iteration 15, inertia 4730.907
Iteration 16, inertia 4709.906
Iteration 17, inertia 4679.055
Iteration 18, inertia 4667.807
Iteration 19, inertia 4662.554
Iteration 20, inertia 4660.249
Iteration 21, inertia 4659.977
Converged at iteration 21
Initialization complete
Iteration  0, inertia 7889.969
Iteration  1, inertia 4918.722
