RCAReducer Reduction and Clustering
----------------------------------------
Initialization complete
Iteration 12, inertia 222.605
Iteration 13, inertia 222.345
Iteration 14, inertia 222.135
Iteration 15, inertia 221.855
Iteration 16, inertia 221.510
Iteration 17, inertia 221.103
Iteration 18, inertia 220.804
Iteration 19, inertia 220.525
Iteration 20, inertia 220.161
Iteration 21, inertia 219.697
Iteration 22, inertia 219.390
Iteration 23, inertia 219.260
Iteration 24, inertia 219.217
Iteration 25, inertia 219.168
Iteration 26, inertia 219.117
Iteration 27, inertia 219.037
Iteration 28, inertia 218.906
Iteration 29, inertia 218.850
Iteration 30, inertia 218.791
Iteration 31, inertia 218.748
Iteration 32, inertia 218.697
Iteration 33, inertia 218.677
Iteration 34, inertia 218.663
Iteration 35, inertia 218.662
Converged at iteration 35
Initialization complete
Iteration  0, inertia 325.190
Iteration  1, inertia 250.573
Iteration  2, inertia 241.027
Iteration  3, inertia 236.792
Iteration  4, inertia 235.188
Iteration  5, inertia 234.213
Iteration  6, inertia 233.740
Iteration  7, inertia 233.495
Iteration  8, inertia 233.198
Iteration  9, inertia 232.913
Iteration 10, inertia 232.570
Iteration 11, inertia 231.936
Iteration 12, inertia 230.958
Iteration 13, inertia 229.262
Iteration 14, inertia 227.175
Iteration 15, inertia 225.200
Iteration 16, inertia 223.736
Iteration 17, inertia 223.098
Iteration 18, inertia 222.905
Iteration 19, inertia 222.804
Iteration 20, inertia 222.780
Iteration 21, inertia 222.766
Iteration 22, inertia 222.758
Iteration 23, inertia 222.747
Iteration 24, inertia 222.743
Iteration 25, inertia 222.739
Iteration 26, inertia 222.732
Iteration 27, inertia 222.717
Iteration 28, inertia 222.673
Iteration 29, inertia 222.618
Iteration 30, inertia 222.562
Iteration 31, inertia 222.506
Iteration 32, inertia 222.448
Iteration 33, inertia 222.401
Iteration 34, inertia 222.372
Iteration 35, inertia 222.357
Iteration 36, inertia 222.339
Iteration 37, inertia 222.329
Iteration 38, inertia 222.322
Iteration 39, inertia 222.314
Iteration 40, inertia 222.303
Converged at iteration 40
Initialization complete
Iteration  0, inertia 304.511
Iteration  1, inertia 236.834
Iteration  2, inertia 229.221
Iteration  3, inertia 226.137
Iteration  4, inertia 224.676
Iteration  5, inertia 223.646
Iteration  6, inertia 222.831
Iteration  7, inertia 222.268
Iteration  8, inertia 221.647
Iteration  9, inertia 220.848
Iteration 10, inertia 220.018
Iteration 11, inertia 219.504
Iteration 12, inertia 219.289
Iteration 13, inertia 219.205
Iteration 14, inertia 219.169
Iteration 15, inertia 219.139
Iteration 16, inertia 219.102
Iteration 17, inertia 219.064
Iteration 18, inertia 219.001
Iteration 19, inertia 218.967
Iteration 20, inertia 218.952
Iteration 21, inertia 218.943
Iteration 22, inertia 218.933
Iteration 23, inertia 218.930
Iteration 24, inertia 218.922
Iteration 25, inertia 218.901
Iteration 26, inertia 218.889
Iteration 27, inertia 218.882
Iteration 28, inertia 218.879
Iteration 29, inertia 218.875
Converged at iteration 29
Initialization complete
Iteration  0, inertia 313.789
Iteration  1, inertia 247.798
Iteration  2, inertia 237.216
Iteration  3, inertia 232.218
Iteration  4, inertia 228.467
Iteration  5, inertia 225.581
Iteration  6, inertia 223.899
Iteration  7, inertia 223.116
Iteration  8, inertia 222.824
Iteration  9, inertia 222.665
Iteration 10, inertia 222.569
Iteration 11, inertia 222.523
Iteration 12, inertia 222.473
Iteration 13, inertia 222.435
Iteration 14, inertia 222.423
Iteration 15, inertia 222.411
Iteration 16, inertia 222.398
Iteration 17, inertia 222.384
Iteration 18, inertia 222.359
Iteration 19, inertia 222.333
Iteration 20, inertia 222.304
Iteration 21, inertia 222.237
Iteration 22, inertia 222.196
Iteration 23, inertia 222.168
Iteration 24, inertia 222.135
Iteration 25, inertia 222.121
Iteration 26, inertia 222.117
Converged at iteration 26
Initialization complete
Iteration  0, inertia 331.412
Iteration  1, inertia 240.697
Iteration  2, inertia 229.684
Iteration  3, inertia 225.880
Iteration  4, inertia 225.076
Iteration  5, inertia 224.606
Iteration  6, inertia 224.326
Iteration  7, inertia 224.065
Iteration  8, inertia 223.783
Iteration  9, inertia 223.318
Iteration 10, inertia 222.847
Iteration 11, inertia 222.404
Iteration 12, inertia 221.809
Iteration 13, inertia 221.102
Iteration 14, inertia 220.265
Iteration 15, inertia 219.715
Iteration 16, inertia 219.508
Iteration 17, inertia 219.452
Iteration 18, inertia 219.395
Iteration 19, inertia 219.360
Iteration 20, inertia 219.328
Iteration 21, inertia 219.315
Iteration 22, inertia 219.308
Iteration 23, inertia 219.302
Iteration 24, inertia 219.296
Iteration 25, inertia 219.293
Iteration 26, inertia 219.289
Iteration 27, inertia 219.269
Iteration 28, inertia 219.252
Iteration 29, inertia 219.245
Iteration 30, inertia 219.242
Iteration 31, inertia 219.239
Iteration 32, inertia 219.234
Iteration 33, inertia 219.226
Iteration 34, inertia 219.214
Iteration 35, inertia 219.198
Iteration 36, inertia 219.181
Iteration 37, inertia 219.156
Iteration 38, inertia 219.147
Iteration 39, inertia 219.145
Iteration 40, inertia 219.143
Iteration 41, inertia 219.138
Iteration 42, inertia 219.136
Iteration 43, inertia 219.133
Iteration 44, inertia 219.129
Iteration 45, inertia 219.127
Converged at iteration 45
Initialization complete
Iteration  0, inertia 310.287
Iteration  1, inertia 237.493
Iteration  2, inertia 226.253
Iteration  3, inertia 222.919
Iteration  4, inertia 221.311
Iteration  5, inertia 220.337
Iteration  6, inertia 219.874
Iteration  7, inertia 219.557
Iteration  8, inertia 219.323
Iteration  9, inertia 219.154
Iteration 10, inertia 219.065
Iteration 11, inertia 219.029
Iteration 12, inertia 219.006
Iteration 13, inertia 219.003
Converged at iteration 13
Initialization complete
Iteration  0, inertia 328.372
Iteration  1, inertia 250.998
Iteration  2, inertia 242.567
Iteration  3, inertia 238.148
Iteration  4, inertia 234.645
Iteration  5, inertia 231.765
Iteration  6, inertia 229.578
Iteration  7, inertia 228.425
Iteration  8, inertia 227.979
Iteration  9, inertia 227.644
Iteration 10, inertia 227.149
Iteration 11, inertia 226.508
Iteration 12, inertia 225.747
Iteration 13, inertia 224.644
Iteration 14, inertia 223.326
Iteration 15, inertia 222.328
Iteration 16, inertia 221.895
Iteration 17, inertia 221.610
Iteration 18, inertia 221.534
Iteration 19, inertia 221.510
Iteration 20, inertia 221.481
Iteration 21, inertia 221.439
Iteration 22, inertia 221.400
Iteration 23, inertia 221.380
Iteration 24, inertia 221.373
Iteration 25, inertia 221.365
Iteration 26, inertia 221.361
Converged at iteration 26
Initialization complete
Iteration  0, inertia 323.226
Iteration  1, inertia 241.308
Iteration  2, inertia 227.728
Iteration  3, inertia 225.247
Iteration  4, inertia 224.297
Iteration  5, inertia 223.990
Iteration  6, inertia 223.796
Iteration  7, inertia 223.629
Iteration  8, inertia 223.524
Iteration  9, inertia 223.461
Iteration 10, inertia 223.378
Iteration 11, inertia 223.304
Iteration 12, inertia 223.235
Iteration 13, inertia 223.191
Iteration 14, inertia 223.136
Iteration 15, inertia 223.111
Iteration 16, inertia 223.084
Iteration 17, inertia 223.047
Iteration 18, inertia 222.995
Iteration 19, inertia 222.895
Iteration 20, inertia 222.747
Iteration 21, inertia 222.696
Iteration 22, inertia 222.668
Iteration 23, inertia 222.598
Iteration 24, inertia 222.543
Iteration 25, inertia 222.484
Iteration 26, inertia 222.443
Iteration 27, inertia 222.369
Iteration 28, inertia 222.268
Iteration 29, inertia 222.085
Iteration 30, inertia 221.960
Iteration 31, inertia 221.926
Iteration 32, inertia 221.910
Iteration 33, inertia 221.901
Iteration 34, inertia 221.895
Iteration 35, inertia 221.891
Converged at iteration 35
Initialization complete
Iteration  0, inertia 349.527
Iteration  1, inertia 248.419
Iteration  2, inertia 237.124
Iteration  3, inertia 232.990
Iteration  4, inertia 230.343
Iteration  5, inertia 228.648
Iteration  6, inertia 227.668
Iteration  7, inertia 226.829
Iteration  8, inertia 226.176
Iteration  9, inertia 225.296
Iteration 10, inertia 224.551
Iteration 11, inertia 223.987
Iteration 12, inertia 223.611
